cust_id,Classificação Atual,deals group on wpp?,tipo_link,link Whatsapp,group_id,group_name,monitorado,device
1156678,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/DPhMOhEaNGHGQ0zX6HKzbw,120363424523362434@g.us,#61 Grupo Vip Home & Ofertas,Sim,waha-meli-2
3573775,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/B74jYLXhWTwJtf9mnGWsIX,120363422156415100@g.us,GARIMPOS FIT #4,Sim,waha-meli-2
4621837,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/D2bmqI22nH555DlWj7aM3K,120363419894519525@g.us,@achadinhoscomcarol 🛍️ 15,Sim,waha-meli-3
6454024,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/FSFrucHSylmCoY6RrYP9DA,120363361699812635@g.us,Mulher Estilosa #31,Sim,waha-meli-2
8467064,Bronze,Tem grupo,Canal,https://www.whatsapp.com/channel/0029VbBdHaXDDmFOwpEd5u0f,120363418735996273@newsletter,HUB das Ofertas,Sim,waha-meli-2
19468151,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/E4hF8QbcKen6PTAIttYP2t,120363387827127363@g.us,"Indiquei Descontos ""Run/Fitness"" #1",Sim,waha-meli-2
30107921,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/KNG2idz9p0A7HhgKxDhj5E,120363223413458114@g.us,Links da Kah,Sim,waha-meli-3
44352982,Gold,Tem grupo,Canal,https://www.whatsapp.com/channel/0029Vb6EHc1KmCPTwxvrbT10,120363398481030915@newsletter,PROMOÇÕES TJ GAMING,Sim,waha-meli-1
45185619,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/HqjX04hPBuc5VzeJvLVJwY,5521983928913-1635937082@g.us,Espiã de Farmácia 5,Sim,waha-meli-2
47190880,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/IglXEIKL0X6Fco4ika2iz5,120363339148867926@g.us,Promoções e Cupons #1🔥,Sim,waha-meli-3
47897711,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/DiaQsENFguqJvobfT8ohim,120363287089062163@g.us,Promos Úteis 🛒 #2,Sim,waha-meli-2
48673895,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/DWDwzf67UGk5aP5lHgfUdX,120363044186231507@g.us,#55Tá Barato Talita👩🏽‍💻HOMEN,Sim,waha-meli-2
51597294,Silver,Tem grupo,Canal,https://whatsapp.com/channel/0029Var77uB9Gv7MiEk3zM0p,120363363220332210@newsletter,Cadeiras de Escritório Promoções,Sim,waha-meli-2
51908994,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/JZRnJkTAZNtH0YXBg0QdmS,120363204406955026@g.us,Descontos e Promoções 🛍️,Sim,waha-meli-3
54685868,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/ByR4LiHfPZtIEZVDccJUBU,120363400958158475@g.us,Achados da Luki #6♥️,Sim,waha-meli-3
54887919,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/BRi7hA0DnbXB1y8cQgNhKN,120363151010767632@g.us,Dicas da Jeni 3,Sim,waha-meli-3
59018115,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/Jl7c2FyLSck7H9n8066kfB,120363423025571870@g.us,#25 Ofertas Baby | ÁREA VIP 🌟,Sim,waha-meli-2
75387792,Bronze,Tem grupo,Canal,https://www.whatsapp.com/channel/0029VbBhzuQLtOj9cerbqT1R,120363422377299875@newsletter,Promoções Mind the Headphone,Sim,waha-meli-3
76331531,Gold,Tem grupo,Grupo,https://chat.whatsapp.com/H1D0o274zFr9tn7j6zuXFu,120363295362974406@g.us,Especialista em TI #07,Sim,waha-meli-1
79957918,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/Blf30ljQJrMHkJU9O95M1B,120363418908050091@g.us,Cuidados com a Mamãe by Dicas dos Papais,Sim,waha-meli-2
81075199,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/BlrfW6AFLntL7AQf5MXk4X,120363421415542167@g.us,Ofertas e Cupons TALITA CAVALCANTE,Sim,waha-meli-3
83215915,Bronze,Tem grupo,Canal,https://www.whatsapp.com/channel/0029Va7jECnCcW4tZ15e8v1v,120363172116034295@newsletter,🔵 Como Clube,Sim,waha-meli-3
84848607,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/KZqNKZ8s7LK8Qb1E7LLRLI,120363359734292336@g.us,𝟵𝟰 • 𝗣𝗥𝗢𝗠𝗢𝗦 𝗗𝗔 𝗞𝗘𝗜 🛍️,Sim,waha-meli-3
85783542,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/D0BHUR4FcN268LsrdkU9ei,120363400319175050@g.us,#PROMOS E CUPONS PARA CICLISMO #3,Sim,waha-meli-2
89888506,Gold,Tem grupo,Canal,https://www.whatsapp.com/channel/0029Vb6r5APCRs1p922GQk3R,120363404182205052@newsletter,VACA OFERTAS,Sim,waha-meli-1
92792646,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/GQYzvIVqQqaHShsUod5G15,120363299357849522@g.us,Cout 02 🇧🇷 Promoções e Info,Sim,waha-meli-3
98661101,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/IP7vNMXAze68XRA2syTJc6,120363366092052337@g.us,Promoção Eng. Adriano Vanjura,Sim,waha-meli-2
